player_id,player,position,birth_date,league,minutes,matches,passes,passes_accurate,key_passes,assists,smart_passes,passes_into_penalty_area,progressive_passes,progressive_pass_distance,crosses,long_passes,shots,shots_on_target,goals,dribbles_won,dribbles_attempted,accelerations,touches_att_pen_area,tackles_won,tackles_attempted,interceptions,clearances,aerials_won,age,season,passes_pct,dribble_success_pct
8192,M. Olsson,DF,1988-05-17,Premier League,3154.0,36.0,1242.0,918.0,6.0,1.0,3.0,52.0,161.0,6479.550000000006,171.0,122.0,20.0,2.0,0.0,86.0,165.0,42.0,36.0,33.0,166.0,135.0,65.0,54.0,29,2017-18,73.9,52.1
415747,J. Simpson,DF,1997-01-08,Premier League,72.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,28.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,4.0,2.0,0.0,20,2017-18,100.0,
415748,J. Tymon,DF,1999-05-22,Premier League,163.0,3.0,81.0,68.0,0.0,0.0,0.0,0.0,7.0,300.2999999999999,3.0,5.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,15.0,4.0,3.0,0.0,18,2017-18,84.0,25.0
10252,S. Clucas,MF,1990-09-25,Premier League,2043.0,29.0,763.0,646.0,1.0,0.0,2.0,13.0,72.0,3287.55,24.0,54.0,20.0,7.0,3.0,21.0,56.0,15.0,40.0,25.0,115.0,93.0,18.0,31.0,27,2017-18,84.7,37.5
71703,V. Lindelöf,DF,1994-07-17,Premier League,1281.0,15.0,729.0,682.0,1.0,0.0,0.0,4.0,147.0,6238.049999999998,1.0,35.0,1.0,0.0,0.0,8.0,21.0,1.0,2.0,27.0,106.0,76.0,38.0,29.0,23,2017-18,93.6,38.1
20505,S. Okaka,FW,1989-08-09,Premier League,446.0,14.0,134.0,98.0,1.0,1.0,3.0,7.0,9.0,410.54999999999995,3.0,1.0,7.0,3.0,1.0,40.0,110.0,1.0,46.0,4.0,21.0,4.0,0.0,21.0,28,2017-18,73.1,36.4
8221,J. Ward,DF,1989-10-29,Premier League,1616.0,19.0,707.0,512.0,2.0,1.0,3.0,19.0,124.0,4740.7500000000055,45.0,106.0,4.0,1.0,0.0,41.0,81.0,6.0,23.0,35.0,146.0,111.0,41.0,43.0,28,2017-18,72.4,50.6
235555,R. Loftus-Cheek,MF,1996-01-23,Premier League,1875.0,24.0,686.0,584.0,5.0,2.0,8.0,48.0,90.0,3695.9999999999973,19.0,26.0,31.0,7.0,2.0,197.0,337.0,38.0,117.0,25.0,116.0,79.0,20.0,49.0,21,2017-18,85.1,58.5
36,T. Alderweireld,DF,1989-03-02,Premier League,1176.0,14.0,898.0,790.0,2.0,0.0,1.0,12.0,222.0,8671.950000000008,8.0,156.0,10.0,1.0,0.0,13.0,25.0,0.0,20.0,17.0,75.0,54.0,30.0,23.0,28,2017-18,88.0,52.0
38,D. Blind,DF,1990-03-09,Premier League,360.0,6.0,224.0,192.0,1.0,0.0,1.0,8.0,39.0,1588.6499999999999,15.0,25.0,3.0,0.0,0.0,7.0,11.0,1.0,5.0,6.0,33.0,21.0,4.0,11.0,27,2017-18,85.7,63.6
346158,E. Nketiah,FW,1999-05-30,Premier League,17.0,3.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,7.3500000000000005,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,18,2017-18,85.7,50.0
8239,L. Baines,DF,1984-12-11,Premier League,1910.0,22.0,772.0,618.0,7.0,1.0,4.0,37.0,120.0,4891.95,47.0,84.0,7.0,4.0,2.0,34.0,60.0,7.0,17.0,13.0,106.0,82.0,35.0,14.0,33,2017-18,80.1,56.7
8240,S. Coleman,DF,1988-10-11,Premier League,1036.0,12.0,382.0,277.0,2.0,1.0,3.0,14.0,58.0,2133.6000000000004,30.0,52.0,4.0,1.0,0.0,49.0,86.0,23.0,30.0,22.0,65.0,62.0,12.0,16.0,29,2017-18,72.5,57.0
48,J. Vertonghen,DF,1987-04-24,Premier League,3204.0,36.0,2370.0,2113.0,3.0,0.0,3.0,15.0,484.0,19877.55,18.0,215.0,23.0,3.0,0.0,50.0,87.0,13.0,47.0,71.0,212.0,211.0,85.0,137.0,30,2017-18,89.2,57.5
8242,S. Duffy,DF,1992-01-01,Premier League,3294.0,37.0,1274.0,1053.0,1.0,0.0,1.0,10.0,219.0,9970.799999999987,3.0,179.0,27.0,7.0,0.0,18.0,30.0,4.0,139.0,45.0,146.0,284.0,171.0,218.0,26,2017-18,82.7,60.0
346159,J. Willock,MF,1999-08-20,Premier League,82.0,2.0,35.0,30.0,0.0,0.0,1.0,0.0,2.0,128.10000000000002,0.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,8.0,8.0,0.0,0.0,18,2017-18,85.7,16.7
16436,C. Quaner,FW,1991-06-18,Premier League,1274.0,25.0,428.0,320.0,4.0,4.0,2.0,21.0,43.0,1612.8000000000002,30.0,20.0,16.0,5.0,0.0,85.0,169.0,23.0,75.0,10.0,71.0,63.0,15.0,17.0,26,2017-18,74.8,50.3
245813,L. Mousset,FW,1996-02-08,Premier League,580.0,19.0,169.0,107.0,2.0,0.0,4.0,10.0,18.0,641.55,11.0,5.0,19.0,5.0,2.0,57.0,132.0,12.0,52.0,5.0,49.0,17.0,4.0,5.0,21,2017-18,63.3,43.2
8246,R. Barkley,MF,1993-12-05,Premier League,129.0,2.0,51.0,40.0,1.0,0.0,0.0,2.0,6.0,181.65,3.0,2.0,2.0,2.0,0.0,12.0,18.0,4.0,8.0,0.0,4.0,4.0,1.0,1.0,24,2017-18,78.4,66.7
54,C. Eriksen,MF,1992-02-14,Premier League,3226.0,37.0,2196.0,1803.0,25.0,5.0,42.0,115.0,288.0,11285.400000000012,111.0,178.0,97.0,40.0,11.0,102.0,261.0,31.0,125.0,29.0,179.0,108.0,14.0,15.0,25,2017-18,82.1,39.1
8245,P. Jagielka,DF,1982-08-17,Premier League,2065.0,25.0,934.0,758.0,0.0,0.0,1.0,9.0,176.0,7474.949999999996,5.0,181.0,5.0,2.0,0.0,9.0,21.0,3.0,29.0,39.0,143.0,178.0,102.0,79.0,35,2017-18,81.2,42.9
56,D. Klaassen,MF,1993-02-21,Premier League,250.0,7.0,97.0,78.0,0.0,0.0,1.0,5.0,12.0,469.3500000000001,4.0,5.0,1.0,1.0,0.0,7.0,10.0,1.0,6.0,3.0,18.0,6.0,1.0,3.0,24,2017-18,80.4,70.0
8249,M. Fellaini,MF,1987-11-22,Premier League,632.0,16.0,369.0,326.0,0.0,0.0,1.0,3.0,33.0,1619.0999999999995,4.0,13.0,8.0,6.0,4.0,25.0,54.0,0.0,42.0,10.0,55.0,35.0,10.0,38.0,30,2017-18,88.3,46.3
274488,J. Lolley,MF,1992-08-25,Premier League,220.0,6.0,69.0,51.0,1.0,0.0,1.0,5.0,11.0,394.8,9.0,0.0,3.0,3.0,1.0,9.0,31.0,5.0,9.0,3.0,16.0,7.0,0.0,4.0,25,2017-18,73.9,29.0
8266,Gomes,GK,1981-02-15,Premier League,2129.0,24.0,392.0,325.0,0.0,0.0,0.0,1.0,233.0,10045.349999999999,0.0,198.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,50.0,6.0,18.0,36,2017-18,82.9,0.0
74,R. Klavan,DF,1985-10-30,Premier League,1448.0,18.0,1130.0,1052.0,1.0,0.0,4.0,9.0,236.0,9074.100000000008,2.0,66.0,2.0,1.0,1.0,14.0,20.0,0.0,11.0,30.0,90.0,75.0,38.0,48.0,32,2017-18,93.1,70.0
8272,Y. Kaboul,DF,1986-01-04,Premier League,151.0,2.0,76.0,62.0,0.0,0.0,1.0,1.0,22.0,908.2499999999998,0.0,21.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,5.0,12.0,15.0,5.0,10.0,32,2017-18,81.6,33.3
8277,K. Walker,DF,1990-05-28,Premier League,2833.0,32.0,2316.0,2051.0,9.0,4.0,13.0,59.0,264.0,11826.15,77.0,131.0,13.0,1.0,0.0,69.0,140.0,38.0,52.0,46.0,154.0,126.0,40.0,72.0,27,2017-18,88.6,49.3
8284,A. Lennon,MF,1987-04-16,Premier League,1919.0,29.0,497.0,364.0,2.0,2.0,3.0,24.0,45.0,1863.7500000000011,42.0,36.0,15.0,5.0,0.0,80.0,153.0,17.0,70.0,18.0,143.0,77.0,8.0,13.0,30,2017-18,73.2,52.3
93,J. Guðmunds­son,MF,1990-10-27,Premier League,2838.0,35.0,840.0,615.0,14.0,5.0,7.0,62.0,83.0,3357.8999999999974,112.0,68.0,56.0,21.0,2.0,141.0,282.0,31.0,75.0,25.0,167.0,99.0,22.0,42.0,27,2017-18,73.2,50.0
8285,J. Livermore,MF,1989-11-14,Premier League,2676.0,34.0,1072.0,872.0,7.0,2.0,10.0,33.0,155.0,6325.200000000003,20.0,112.0,15.0,4.0,2.0,61.0,128.0,6.0,55.0,49.0,213.0,127.0,21.0,28.0,28,2017-18,81.3,47.7
288865,O. McBurnie,FW,1996-06-04,Premier League,268.0,11.0,80.0,64.0,0.0,1.0,0.0,3.0,4.0,219.45000000000002,3.0,1.0,3.0,1.0,0.0,7.0,28.0,1.0,18.0,1.0,5.0,4.0,2.0,21.0,21,2017-18,80.0,25.0
8290,A. Pritchard,MF,1993-05-03,Premier League,1003.0,14.0,339.0,254.0,8.0,1.0,7.0,23.0,37.0,1419.6000000000004,19.0,30.0,20.0,4.0,1.0,55.0,123.0,8.0,30.0,12.0,55.0,25.0,8.0,3.0,24,2017-18,74.9,44.7
8292,D. Rose,DF,1990-07-02,Premier League,802.0,10.0,392.0,306.0,3.0,0.0,5.0,28.0,55.0,2226.0,55.0,30.0,8.0,1.0,0.0,52.0,88.0,6.0,35.0,12.0,61.0,36.0,8.0,7.0,27,2017-18,78.1,59.1
8296,J. Defoe,FW,1982-10-07,Premier League,1085.0,24.0,122.0,93.0,2.0,1.0,3.0,16.0,3.0,300.29999999999995,10.0,1.0,26.0,15.0,4.0,32.0,99.0,4.0,98.0,5.0,36.0,10.0,0.0,0.0,35,2017-18,76.2,32.3
286825,J. Kenny,DF,1997-03-15,Premier League,1588.0,19.0,601.0,443.0,5.0,1.0,2.0,25.0,96.0,3985.799999999999,48.0,127.0,2.0,1.0,0.0,28.0,54.0,6.0,16.0,23.0,170.0,110.0,57.0,41.0,20,2017-18,73.7,51.9
107,E. Pieters,DF,1988-08-07,Premier League,2720.0,31.0,1041.0,771.0,6.0,0.0,2.0,31.0,166.0,6162.450000000002,75.0,136.0,3.0,1.0,0.0,49.0,93.0,10.0,28.0,75.0,300.0,213.0,73.0,58.0,29,2017-18,74.1,52.7
8301,J. Hart,GK,1987-04-19,Premier League,1710.0,19.0,322.0,241.0,0.0,1.0,0.0,3.0,204.0,9525.600000000002,0.0,222.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,26.0,3.0,7.0,30,2017-18,74.8,100.0
286831,D. Solanke,FW,1997-09-14,Premier League,582.0,20.0,171.0,141.0,4.0,2.0,4.0,13.0,8.0,520.8000000000002,6.0,2.0,23.0,8.0,1.0,31.0,88.0,4.0,86.0,2.0,22.0,15.0,3.0,22.0,20,2017-18,82.5,35.2
