player,market_value_eur_m
S. Clucas,8.0
R. Loftus-Cheek,8.0
C. Eriksen,70.0
A. Lennon,5.0
J. Guðmunds­son,
J. Livermore,9.0
A. Pritchard,10.0
R. Pereyra,12.0
G. Wijnaldum,30.0
E. Can,28.0
G. Barry,1.0
David Silva,30.0
J. Milner,12.0
Pedro Obiang,9.0
A. Surman,2.5
R. van La Parra,2.5
C. Brunt,3.5
M. Lanzini,18.0
W. Zaha,25.0
M. James,1.5
L. Fer,8.0
Roque Mesa,10.0
F. Delph,10.0
A. Townsend,12.0
C. Yacob,4.0
A. King,3.0
B. N'Diaye,15.0
J. McClean,3.0
M. Noble,7.0
D. Tadić,15.0
M. Diamé,5.0
J. McArthur,6.0
V. Moses,18.0
S. Defour,7.0
D. Pröpper,12.0
İ. Gündoğan,30.0
N. Matić,40.0
D. Gray,15.0
Sung-Yeung Ki,7.0
A. Carrillo,6.0
S. Davis,6.0
L. Milivojević,10.0
C. Atsu,
A. Iwobi,10.0
J. Hogg,2.0
X. Shaqiri,18.0
G. Xhaka,35.0
A. Westwood,4.0
J. Stanislas,4.5
R. Fraser,5.0
T. Carroll,7.0
J. Hendrick,8.0
W. Hughes,10.0
N. Kanté,60.0
J. Murphy,7.0
Ramadan Sobhi,6.0
C. Kouyaté,12.0
Willian,32.0
H. Mkhitaryan,35.0
Fernandinho,15.0
M. Dembélé,18.0
S. Boufal,15.0
Kenedy,7.0
A. Mooy,9.0
G. Krychowiak,20.0
M. Lemina,15.0
T. Davies,15.0
M. Ritchie,10.0
S. Arfield,3.0
H. Arter,7.0
M. Pugh,
I. Gueye,18.0
E. Dier,40.0
K. De Bruyne,110.0
I. Hayden,7.0
W. Ndidi,18.0
A. Maitland-Niles,5.0
P. Groß,9.0
D. Alli,80.0
E. Capoue,8.0
M. Phillips,9.0
T. Ince,8.0
M. Sissoko,20.0
M. Özil,50.0
Fàbregas,35.0
João Mário,26.0
Ander Herrera,30.0
A. Knockaert,8.0
R. Brady,10.0
L. Cook,6.0
Bernardo Silva,40.0
D. Williams,2.0
S. March,3.5
J. Ibe,8.0
R. Mahrez,30.0
L. Sané,75.0
T. Bakayoko,40.0
A. Doucouré,12.0
A. Oxlade-Chamberlain,30.0
A. Ramsey,40.0
J. Wilshere,18.0
Oriol Romeu,12.0
Juan Mata,30.0
J. Allen,18.0
N. Dyer,2.5
G. Sigurðsson,30.0
T. Cleverley,9.0
D. Fletcher,2.0
J. Lingard,25.0
P. Pogba,90.0
J. Henderson,25.0
J. Shelvey,10.0
Y. Cabaye,10.0
D. Gosling,3.0
Mikel Merino,10.0
M. Albrighton,8.0
Vicente Iborra,10.0
D. Stephens,6.0
N. Redmond,18.0
J. Cork,9.0
P. Højbjerg,8.0
M. Schneiderlin,20.0
J. Ward-Prowse,15.0
S. N'Zonzi,30.0
Iñigo Córdoba,5.0
Carlos Soler,25.0
D. Wass,10.0
Gabriel,4.0
Fabián,10.0
L. Modrić,40.0
R. Soriano,12.0
J. Correa,10.0
Borja García,2.5
Eraso,2.0
Javi Fuego,1.0
Javi Castellano,0.7
Vicente Gómez,3.0
Vitolo,25.0
P. Sisto,15.0
Jonathan Viera,8.0
Pablo Fornals,15.0
Rodri,20.0
F. Vázquez,12.0
T. Kroos,80.0
Saúl,70.0
Pedro Mosquera,2.0
D. Cheryshev,3.0
Javi García,4.0
T. Inui,3.5
Jurado,2.5
A. Szymanowski,4.0
G. Shibasaki,1.5
Rubén Peña,1.0
Burgui,1.5
M. Krohn-Dehli,1.5
P. Hernández,2.0
G. Pizarro,15.0
Jozabed,3.5
Andreas Pereira,7.5
N. Radoja,5.0
Tana,3.0
R. Boudebouz,6.0
Gumbau,0.8
D. Torres,1.5
D. Brašanac,2.0
Iván Alejo,1.5
A. Januzaj,10.0
G. Kondogbia,25.0
Samu Castillejo,7.0
A. Halilović,2.5
Álex Granell,2.5
Omar Ramos,1.2
Mikel Rico,1.5
É. Banega,12.0
Canales,4.0
Dani Parejo,18.0
Portu,5.0
Dani Raba,1.0
Granero,1.5
Mikel Oyarzabal,30.0
Sergio Busquets,80.0
Iniesta,20.0
F. Fajr,
A. Guardado,5.0
San José,0.5
Iturraspe,5.0
Marco Asensio,50.0
Susaeta,7.5
Ibai Gómez,3.0
Gabi,3.0
Koke,70.0
Keko,2.5
Campaña,3.0
Jesús Navas,6.0
I. Rakitić,45.0
Manu García,1.8
Dani García,5.0
Joan Jordán,3.5
Alfonso Pedraza,3.5
Raúl García,9.0
C. Doukouré,1.5
Víctor Camarasa,6.0
Jason,5.0
Timor,2.0
Medrán,2.0
M. Wakaso,1.0
Brais Méndez,0.5
Trigueros,15.0
F. Valverde,3.0
Isco,75.0
Pere Pons,5.0
Recio,3.5
Fede Cartabia,2.0
Joaquín,0.5
Portillo,1.5
Beñat,5.0
Chory Castro,1.5
Tomás Pina,1.5
Markel Bergara,1.8
Illarramendi,15.0
Xabi Prieto,3.0
Zurutuza,3.0
Paulinho,40.0
P. Diop,1.0
Adrián,5.0
G. Escalante,2.5
Guilherme,4.0
Víctor Sánchez,4.0
S. Lukić,1.0
S. Lobotka,7.5
Sergi Darder,11.0
M. Arambarri,2.5
J. Lerma,1.5
F. Orellana,2.0
M. Iturra,1.2
M. Kovačić,25.0
Casemiro,40.0
C. Borges,5.0
E. Bardhi,5.0
José Luis Morales,2.5
N. El Zhar,2.0
Zubeldía,2.0
E. Çolak,4.0
C. Sánchez,2.5
M. Lacen,0.8
Rubén Pérez,5.0
Pedro León,2.5
Pablo Sarabia,18.0
A. Aquilani,0.8
Thomas,0.3
S. Ascacíbar,10.0
Caiuby,3.0
M. Eggestein,4.0
M. Sabitzer,18.0
G. Fernandes,1.5
K. Demirbay,12.0
J. Hofmann,3.0
A. Harit,15.0
K. Laimer,7.0
C. Tolisso,40.0
W. McKennie,4.5
L. Öztunali,6.5
P. Bargfrede,1.5
Z. Junuzović,5.5
C. Pulisic,45.0
A. Hunt,1.5
F. Ribéry,5.0
A. Robben,9.0
F. Grillitsch,4.5
A. Ekdal,3.0
C. Gentner,2.0
G. Castro,
T. Ito,1.0
R. Khedira,2.5
L. Bender,11.0
K. Bellarabi,14.0
J. Rodríguez,50.0
M. Bakalorz,2.5
M. Götze,20.0
S. Kagawa,13.0
C. Kramer,14.0
M. Höger,2.5
L. Holtby,3.0
D. Zakaria,16.0
N. Schulz,3.0
S. Özcan,2.5
P. Skjelbred,
M. Hasebe,1.0
V. Darida,8.0
M. Arnold,12.0
D. Caligiuri,5.0
J. Schmid,2.5
J. Schuster,0.5
H. Nordtveit,5.0
P. Herrmann,5.0
T. Delaney,7.5
M. Jojić,2.5
M. Cuisance,3.5
D. Didavi,7.0
M. Frantz,2.0
F. Kostić,8.0
M. Gaćinović,5.0
S. Zuber,6.0
J. Baumgartlinger,3.5
Y. Mallı,12.0
M. Risse,3.0
M. Lehmann,0.75
P. Schwegler,
Y. Konoplyanka,12.5
M. Weiser,12.0
N. Keïta,50.0
L. Bittencourt,6.0
D. Geiger,5.0
N. Höfler,3.5
F. Klaus,2.5
J. Haberer,5.0
J. Brandt,30.0
V. Koziello,7.5
I. Fossum,1.0
M. Meyer,16.0
L. Goretzka,40.0
N. Şahin,5.0
S. Gnabry,15.0
J. Guilavogui,8.0
Thiago Alcântara,50.0
M. Heller,1.25
Javi Martínez,32.0
Walace,9.0
N. Bentaleb,18.0
B. Stambouli,7.0
D. Baier,1.5
J. Weigl,30.0
M. Wolf,3.0
Ja-Cheol Koo,3.5
N. Amiri,15.0
S. Rudy,15.0
J. de Guzmán,1.75
C. Aránguiz,10.0
Camacho,1.0
S. Ilsanker,5.5
S. Serdar,3.0
F. Kainz,3.0
D. Kohr,4.5
D. Demme,9.0
L. Rupp,4.5
B. Özcan,2.5
J. Gbamin,8.0
G. Holtmann,1.5
F. Bartels,3.0
E. Thommy,0.75
K. Kampl,18.0
V. Lazaro,5.0
J. Brekalo,3.5
R. Quaison,2.0
A. Maxim,2.5
D. Latza,5.0
K. Boateng,5.0
E. Forsberg,25.0
K. Havertz,18.0
A. Maier,2.5
M. Dahoud,15.0
A. Vidal,35.0
R. Gagliardini,20.0
A. Florenzi,25.0
J. Obi,2.5
A. Poli,4.0
Gerson,10.0
F. Depaoli,1.5
A. Candreva,20.0
S. Lulić,7.0
Sandro,1.8
K. Asamoah,12.5
K. Strootman,25.0
E. Pulgar,4.5
N. Viola,1.3
P. Hetemaj,4.2
F. Đuričić,
L. Rigoni,1.5
G. Ramírez,9.5
J. Jankto,15.0
A. Bertolacci,7.5
J. Cuadrado,28.0
L. Castro,7.5
S. Bastien,2.5
B. Zuculini,1.7
S. Sensi,4.0
A. Acquah,2.5
A. Barberis,2.0
M. Brozović,19.0
É. Barreto,1.5
L. Mora,0.8
G. Donsah,8.0
G. Bonaventura,22.0
L. Cigarini,1.8
R. Nainggolan,45.0
P. Schiattarella,1.6
F. Kessié,20.0
Rômulo,2.5
V. Behrami,1.5
R. Montolivo,3.0
I. Perišić,45.0
D. Cataldi,5.0
R. Saponara,9.0
D. Lazović,2.0
T. Rincón,8.0
M. de Roon,12.0
L. Pellegrini,16.0
N. Rigoni,1.2
B. Džemaili,3.0
M. Hamšík,40.0
Miguel Veloso,3.5
V. Birsa,4.5
M. Gonalons,8.5
Jorginho,28.0
R. Freuler,10.0
B. Matuidi,30.0
L. Biglia,
M. Parolo,6.0
D. Praet,14.0
Douglas Costa,35.0
A. Taarabt,2.0
M. Fossati,2.0
M. Lazzari,
A. Ioniţă,3.5
R. de Paul,6.0
K. Linetty,12.0
J. Veretout,12.0
A. Barák,8.5
D. Baselli,7.0
I. Radovanović,3.5
J. Kurtič,6.0
H. Çalhanoğlu,17.5
Guilherme,4.0
R. Chibsah,1.6
P. Faragò,3.5
S. Khedira,28.0
Rafinha,15.0
A. Grassi,3.5
F. Chiesa,35.0
S. Fofana,10.0
B. Dabo,4.0
Luis Alberto,15.0
João Pedro,6.0
L. Mazzitelli,
Borja Valero,7.5
N. Barella,15.0
D. Laxalt,9.5
P. Zieliński,25.0
A. Marušić,0.03
M. Büchel,1.2
M. Vecino,23.0
A. Balić,2.5
S. Milinković-Savić,
F. Magnanelli,1.0
S. Missiroli,3.0
R. Mandragora,4.0
L. Spinazzola,12.0
L. Torreira,25.0
Allan,20.0
M. Badelj,13.0
Lucas Leiva,7.5
L. Memushaj,1.0
Felipe Anderson,25.0
M. Benassi,0.07
Daniel Bessa,3.5
A. Duncan,9.0
B. Cristante,15.0
M. Valoti,1.0
O. Hiljemark,
M. Rohdén,1.5
D. De Rossi,3.5
M. Pjanić,50.0
F. Viviani,3.5
E. Giaccherini,1.0
S. Padoin,0.8
Kwon Chang-Hoon,3.0
Thiago Mendes,9.0
A. Dioussé,5.0
A. Thomasson,4.0
J. Lea Siliki,1.5
Somália,2.0
M. Sanson,18.0
K. Azamoum,1.5
R. Krhin,1.5
I. Sangaré,0.4
