player,market_value_eur_m,tm_name,value_date,match_method
S. Clucas,8.0,Sam Clucas,2018-01-01,short
R. Loftus-Cheek,8.0,Ruben Loftus-Cheek,2018-01-01,short
C. Eriksen,70.0,Christian Eriksen,2018-01-01,short
A. Lennon,5.0,Aaron Lennon,2018-01-01,short
J. Guðmunds­son,,,,none
J. Livermore,9.0,Jake Livermore,2018-01-01,short
A. Pritchard,10.0,Alex Pritchard,2018-03-22,short
R. Pereyra,12.0,Roberto Pereyra,2018-01-01,short
G. Wijnaldum,30.0,Georginio Wijnaldum,2018-01-01,short
E. Can,28.0,Emre Can,2018-01-01,short
G. Barry,1.0,Gareth Barry,2018-01-01,short
David Silva,30.0,David Silva,2018-01-01,exact
J. Milner,12.0,James Milner,2018-01-01,short
Pedro Obiang,9.0,Pedro Obiang,2018-01-01,exact
A. Surman,2.5,Andrew Surman,2018-01-01,short
R. van La Parra,2.5,Rajiv van La Parra,2018-01-01,short
C. Brunt,3.5,Chris Brunt,2018-01-01,short
M. Lanzini,18.0,Manuel Lanzini,2018-01-01,short
W. Zaha,25.0,Wilfried Zaha,2018-01-01,short
M. James,1.5,Matty James,2018-01-01,short
L. Fer,8.0,Leroy Fer,2018-01-01,short
Roque Mesa,10.0,Roque Mesa,2018-01-01,exact
F. Delph,10.0,Fabian Delph,2018-01-01,short
A. Townsend,12.0,Andros Townsend,2018-01-01,short
C. Yacob,4.0,Claudio Yacob,2018-01-01,short
A. King,3.0,Andy King,2018-01-01,short
B. N'Diaye,15.0,Badou Ndiaye,2018-02-04,short
J. McClean,3.0,James McClean,2018-01-01,short
M. Noble,7.0,Mark Noble,2018-01-01,short
D. Tadić,15.0,Dušan Tadić,2018-01-01,short
M. Diamé,5.0,Mohamed Diamé,2018-01-01,short
J. McArthur,6.0,James McArthur,2018-01-01,short
V. Moses,18.0,Victor Moses,2018-01-01,short
S. Defour,7.0,Steven Defour,2018-01-01,short
D. Pröpper,12.0,Davy Pröpper,2018-01-01,short
İ. Gündoğan,30.0,İlkay Gündoğan,2018-01-01,short
N. Matić,40.0,Nemanja Matic,2018-01-01,short
D. Gray,15.0,Demarai Gray,2018-01-01,short
Sung-Yeung Ki,7.0,Sung-yueng Ki,2018-01-01,fuzzy_92
A. Carrillo,6.0,André Carrillo,2018-01-01,short
S. Davis,6.0,Steven Davis,2018-01-01,short
L. Milivojević,10.0,Luka Milivojevic,2018-01-01,short
C. Atsu,,,,none
A. Iwobi,10.0,Alex Iwobi,2018-01-01,short
J. Hogg,2.0,Jonathan Hogg,2018-01-01,short
X. Shaqiri,18.0,Xherdan Shaqiri,2018-01-01,short
G. Xhaka,35.0,Granit Xhaka,2018-01-01,short
A. Westwood,4.0,Ashley Westwood,2018-01-01,short
J. Stanislas,4.5,Junior Stanislas,2018-01-01,short
R. Fraser,5.0,Ryan Fraser,2018-01-01,short
T. Carroll,7.0,Tom Carroll,2018-01-01,short
J. Hendrick,8.0,Jeff Hendrick,2018-01-01,short
W. Hughes,10.0,Will Hughes,2018-01-01,short
N. Kanté,60.0,N'Golo Kanté,2018-01-01,short
J. Murphy,7.0,Jacob Murphy,2018-01-01,short
Ramadan Sobhi,6.0,Ramadan Sobhi,2018-01-01,exact
C. Kouyaté,12.0,Cheikhou Kouyaté,2018-01-01,short
